capacite;effectif_total_candidats;effectif_total_candidates;effectif_total_proposition_admission;effectif_total_admis;effectif_total_admises;effectif_total_admis_boursiers_neo_bac;effectif_total_admis_neo_bac;effectif_admis_meme_academie
70;394;346;181;54;53;10;38;35
48;592;411;281;27;18;1;27;25
35;556;231;182;33;10;4;25;23
18;153;51;79;14;5;2;12;10
24;584;392;161;17;15;3;12;11
30;299;170;94;17;11;4;15;8
18;105;23;55;8;1;0;7;2
12;69;4;33;10;1;0;4;1
36;127;87;89;13;6;1;8;5
22;197;88;70;4;1;1;3;3
25;213;81;82;12;5;2;8;5
24;557;198;90;12;4;3;11;11
24;305;135;110;15;8;4;11;10
35;138;88;89;28;21;4;18;18
15;278;102;65;11;5;2;9;9
25;91;66;45;13;9;3;13;10
32;276;183;135;26;12;3;14;14
96;504;332;289;71;45;6;64;56
96;851;298;467;55;19;6;46;28
15;389;264;81;15;10;4;9;7
30;1320;943;143;29;21;5;20;14
72;840;662;230;56;46;14;35;31
24;106;69;48;10;6;2;8;7
36;451;429;140;21;21;5;14;8
15;44;7;21;5;0;0;3;3
24;153;74;84;16;6;4;11;8
19;420;150;76;16;4;3;15;11
15;291;46;53;14;3;5;8;6
15;152;31;38;6;0;0;3;3
15;221;24;67;13;0;6;11;7
60;1244;636;300;59;23;21;38;32
24;476;239;66;24;15;10;22;22
20;60;37;29;8;5;1;6;5
20;40;23;36;6;1;2;5;4
35;220;38;97;32;1;10;26;20
12;85;5;58;8;0;5;8;3
30;346;164;131;23;16;5;20;19
24;250;180;84;17;15;8;12;9
15;200;20;82;11;1;3;9;7
50;350;125;91;47;4;12;47;39
32;502;348;122;30;24;7;28;13
16;87;53;38;8;4;3;4;4
15;78;10;41;6;0;2;6;5
35;541;266;160;20;5;6;17;17
24;237;126;102;16;11;5;12;12
96;2400;714;501;99;21;3;88;47
96;1600;1122;501;89;64;12;86;59
35;682;303;157;34;10;8;29;29
24;179;24;88;24;3;9;18;18
45;1385;972;173;44;31;7;29;25
35;496;431;129;31;27;10;24;23
27;426;244;90;28;22;4;27;19
32;476;151;193;21;11;1;16;12
120;707;526;315;118;85;5;19;5
24;92;9;44;15;0;5;8;8
35;335;131;142;32;16;9;22;19
15;186;35;68;8;0;0;5;5
52;207;18;161;34;1;4;21;16
135;861;407;559;118;51;22;96;91
35;234;205;120;22;18;6;14;14
35;430;210;141;28;16;6;23;19
18;81;55;34;6;4;1;3;3
30;266;96;89;16;2;3;14;12
32;865;335;132;8;4;1;6;6
48;1539;530;488;48;8;7;48;45
35;438;304;181;25;19;9;24;21
15;165;28;45;10;1;0;3;2
